City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,port saint john's,-31.6229,29.5448,14.32,42,0,2.63,ZA,1686522605
83,nar'yan-mar,67.6713,53.087,3.54,60,100,3.69,RU,1686522605
84,kailua-kona,19.6406,-155.9956,27.98,85,40,4.12,US,1686522605
85,callao,-12.0667,-77.15,23.18,68,100,5.66,PE,1686522605
86,ola,59.5833,151.2833,11.78,85,100,2.69,RU,1686522606
87,tiksi,71.6872,128.8694,0.17,91,100,6.44,RU,1686522606
88,hithadhoo,-0.6,73.0833,27.52,77,68,3.22,MV,1686522606
89,bodo,67.28,14.405,9.97,98,100,3.09,NO,1686522606
90,konarka,19.9,86.1167,30.22,83,83,4.41,IN,1686522606
91,korablino,53.9164,40.0133,7.48,76,100,5.17,RU,1686522607
92,colonia,50.9333,6.95,22.14,45,0,3.09,DE,1686522607
93,aioun,16.6614,-9.6149,36.24,12,100,5.45,MR,1686522607
94,inhambane,-23.865,35.3833,16.84,91,0,1.61,MZ,1686522607
95,bondo,3.8146,23.6866,20.98,98,100,1.19,CD,1686522607
96,nemuro,43.3236,145.575,11.89,97,100,5.25,JP,1686522607
97,merlo,-32.3429,-65.014,6.23,47,52,0.72,AR,1686522395
98,soufriere,13.8562,-61.0566,28.78,82,20,10.29,LC,1686522608
99,port douglas,-16.4833,145.4667,23.39,80,55,2.19,AU,1686522608
100,georgetown,5.4112,100.3354,27.96,87,20,1.03,MY,1686522558
101,selfoss,63.9331,-20.9971,8.91,86,96,3.35,IS,1686522608
102,vadso,70.0744,29.7487,16.49,71,75,11.32,NO,1686522608
103,fortuna,40.5982,-124.1573,16.63,85,75,5.14,US,1686522608
104,fale old settlement,-9.3852,-171.2468,28.55,78,100,5.88,TK,1686522609
105,richards bay,-28.783,32.0377,15.58,90,0,2.79,ZA,1686522609
106,weligama,5.9667,80.4167,27.42,85,98,6.41,LK,1686522609
107,madang,-5.2246,145.7966,26.51,92,95,2.82,PG,1686522609
108,labrador city,52.9463,-66.9114,14.95,77,75,5.66,CA,1686522609
109,isafjordur,66.0755,-23.124,8.1,74,8,9.42,IS,1686522609
110,vilyuysk,63.7553,121.6247,6.65,67,92,5.49,RU,1686522610
111,naze,28.3667,129.4833,23.51,85,99,1.67,JP,1686522610
112,fort bragg,35.139,-79.006,29.34,53,100,3.6,US,1686522610
